date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2019-02-22,170.9218,172.3364,170.7226,172.3065,18913154,18913154,1.9027,1.117,171.6917,"Feb 22, 19",-0.06902917940422283
2019-02-25,173.4919,175.1954,173.2827,173.5617,21873358,21873358,1.2552,0.728,174.1933,"Feb 25, 19",-0.06224734253787234
2019-02-26,173.0436,174.6275,172.5089,173.6613,17070211,17070211,0.099616,0.057,173.7013,"Feb 26, 19",-0.06170920443088654
2019-02-27,172.5456,174.3287,172.0674,174.1992,27835389,27835389,0.537929,0.31,173.5184,"Feb 27, 19",-0.058802934473581106
2019-02-28,173.6513,174.239,172.2567,172.4858,28215416,28215416,-1.7134,-0.984,173.1099,"Feb 28, 19",-0.06806042275178759
2019-03-01,173.6115,174.4781,172.2268,174.2988,25886167,25886167,1.813,1.051,173.624,"Mar 1, 19",-0.05826479636659531
2019-03-04,175.0161,177.0682,173.3027,175.1754,27436203,27436203,0.876624,0.503,175.2686,"Mar 4, 19",-0.053528532665955725
2019-03-05,175.2651,175.3249,173.8705,174.8567,19737419,19737419,-0.318772,-0.182,174.6873,"Mar 5, 19",-0.055250466548449305
2019-03-06,174,174.8168,173.2728,173.8505,20810384,20810384,-1.0061,-0.575,174.0727,"Mar 6, 19",-0.06068695814733531
2019-03-07,173.203,173.7708,171.3601,171.8383,24796374,24796374,-2.0123,-1.157,172.3975,"Mar 7, 19",-0.07155886074649918
2019-03-08,169.6667,172.4061,168.8498,172.2467,23999358,23999358,0.408427,0.238,171.1473,"Mar 8, 19",-0.06935227838813594
2019-03-11,174.8168,178.4329,174.6774,178.2137,32011034,32011034,5.967,3.464,177.4342,"Mar 11, 19",-0.03711261890636951
2019-03-12,179.3095,181.9693,178.6819,180.216,32467584,32467584,2.0023,1.124,180.4365,"Mar 12, 19",-0.02629420593832162
2019-03-13,181.5509,182.5969,180.226,181.013,31032524,31032524,0.796931,0.442,181.268,"Mar 13, 19",-0.021988020483827263
2019-03-14,183.1946,183.3938,181.8597,183.0252,23579508,23579508,2.0123,1.112,182.8303,"Mar 14, 19",-0.011116117884663395
